Country Name,Country Code,Series Name,Series Code,2018 [YR2018]
Afghanistan,AFG,Government Effectiveness: Estimate,GE.EST,-1.457285
Afghanistan,AFG,Government Effectiveness: Number of Sources,GE.NO.SRC,8
Afghanistan,AFG,Government Effectiveness: Percentile Rank,GE.PER.RNK,7.692307
Afghanistan,AFG,"Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval",GE.PER.RNK.LOWER,1.442308
Afghanistan,AFG,"Government Effectiveness: Percentile Rank, Upper Bound of 90% Confidence Interval",GE.PER.RNK.UPPER,12.5
Afghanistan,AFG,Government Effectiveness: Standard Error,GE.STD.ERR,0.2380511
Albania,ALB,Government Effectiveness: Estimate,GE.EST,0.114788
Albania,ALB,Government Effectiveness: Number of Sources,GE.NO.SRC,7
Albania,ALB,Government Effectiveness: Percentile Rank,GE.PER.RNK,57.69231
Albania,ALB,"Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval",GE.PER.RNK.LOWER,42.78846
Albania,ALB,"Government Effectiveness: Percentile Rank, Upper Bound of 90% Confidence Interval",GE.PER.RNK.UPPER,70.19231
Albania,ALB,Government Effectiveness: Standard Error,GE.STD.ERR,0.22757
Algeria,DZA,Government Effectiveness: Estimate,GE.EST,-0.4439246
Algeria,DZA,Government Effectiveness: Number of Sources,GE.NO.SRC,10
Algeria,DZA,Government Effectiveness: Percentile Rank,GE.PER.RNK,37.01923
Algeria,DZA,"Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval",GE.PER.RNK.LOWER,20.19231
Algeria,DZA,"Government Effectiveness: Percentile Rank, Upper Bound of 90% Confidence Interval",GE.PER.RNK.UPPER,48.07692
Algeria,DZA,Government Effectiveness: Standard Error,GE.STD.ERR,0.1942946
American Samoa,ASM,Government Effectiveness: Estimate,GE.EST,0.5514148
American Samoa,ASM,Government Effectiveness: Number of Sources,GE.NO.SRC,1
American Samoa,ASM,Government Effectiveness: Percentile Rank,GE.PER.RNK,72.59615
American Samoa,ASM,"Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval",GE.PER.RNK.LOWER,46.63462
American Samoa,ASM,"Government Effectiveness: Percentile Rank, Upper Bound of 90% Confidence Interval",GE.PER.RNK.UPPER,87.5
American Samoa,ASM,Government Effectiveness: Standard Error,GE.STD.ERR,0.4585745
Andorra,AND,Government Effectiveness: Estimate,GE.EST,1.944976
Andorra,AND,Government Effectiveness: Number of Sources,GE.NO.SRC,1
Andorra,AND,Government Effectiveness: Percentile Rank,GE.PER.RNK,98.55769
Andorra,AND,"Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval",GE.PER.RNK.LOWER,84.61539
Andorra,AND,"Government Effectiveness: Percentile Rank, Upper Bound of 90% Confidence Interval",GE.PER.RNK.UPPER,100
Andorra,AND,Government Effectiveness: Standard Error,GE.STD.ERR,0.4585745
Angola,AGO,Government Effectiveness: Estimate,GE.EST,-1.052086
Angola,AGO,Government Effectiveness: Number of Sources,GE.NO.SRC,9
Angola,AGO,Government Effectiveness: Percentile Rank,GE.PER.RNK,13.94231
Angola,AGO,"Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval",GE.PER.RNK.LOWER,8.173077
Angola,AGO,"Government Effectiveness: Percentile Rank, Upper Bound of 90% Confidence Interval",GE.PER.RNK.UPPER,21.63461
Angola,AGO,Government Effectiveness: Standard Error,GE.STD.ERR,0.1926641
Anguilla,AIA,Government Effectiveness: Estimate,GE.EST,0.8301269
Anguilla,AIA,Government Effectiveness: Number of Sources,GE.NO.SRC,1
Anguilla,AIA,Government Effectiveness: Percentile Rank,GE.PER.RNK,76.44231
Anguilla,AIA,"Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval",GE.PER.RNK.LOWER,55.28846
Anguilla,AIA,"Government Effectiveness: Percentile Rank, Upper Bound of 90% Confidence Interval",GE.PER.RNK.UPPER,92.30769
Anguilla,AIA,Government Effectiveness: Standard Error,GE.STD.ERR,0.4585745
Antigua and Barbuda,ATG,Government Effectiveness: Estimate,GE.EST,-0.0060096
Antigua and Barbuda,ATG,Government Effectiveness: Number of Sources,GE.NO.SRC,1
Antigua and Barbuda,ATG,Government Effectiveness: Percentile Rank,GE.PER.RNK,52.88462
Antigua and Barbuda,ATG,"Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval",GE.PER.RNK.LOWER,20.67308
Antigua and Barbuda,ATG,"Government Effectiveness: Percentile Rank, Upper Bound of 90% Confidence Interval",GE.PER.RNK.UPPER,75.48077
Antigua and Barbuda,ATG,Government Effectiveness: Standard Error,GE.STD.ERR,0.4585745
Argentina,ARG,Government Effectiveness: Estimate,GE.EST,0.0259878
Argentina,ARG,Government Effectiveness: Number of Sources,GE.NO.SRC,11
Argentina,ARG,Government Effectiveness: Percentile Rank,GE.PER.RNK,54.80769
Argentina,ARG,"Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval",GE.PER.RNK.LOWER,41.34615
Argentina,ARG,"Government Effectiveness: Percentile Rank, Upper Bound of 90% Confidence Interval",GE.PER.RNK.UPPER,64.90385
Argentina,ARG,Government Effectiveness: Standard Error,GE.STD.ERR,0.1831254
Armenia,ARM,Government Effectiveness: Estimate,GE.EST,-0.0243394
Armenia,ARM,Government Effectiveness: Number of Sources,GE.NO.SRC,9
Armenia,ARM,Government Effectiveness: Percentile Rank,GE.PER.RNK,51.44231
