"Fecha","CountryName","CountryCode","StringencyIndex"
2020-03-01,"Afghanistan","AFG",27.78
2020-03-26,"Angola","AGO",33.33
2020-03-16,"Albania","ALB",81.48
2020-03-16,"Andorra","AND",31.48
2020-02-12,"United Arab Emirates","ARE",2.78
2020-03-16,"Argentina","ARG",41.67
2020-02-01,"Australia","AUS",19.44
2020-03-10,"Austria","AUT",19.44
2020-03-15,"Azerbaijan","AZE",52.78
2020-04-14,"Burundi","BDI",13.89
2020-02-16,"Belgium","BEL",11.11
2020-03-22,"Benin","BEN",27.78
2020-03-16,"Burkina Faso","BFA",33.33
2020-03-16,"Bangladesh","BGD",33.33
2020-03-16,"Bulgaria","BGR",50.93
2020-03-01,"Bahrain","BHR",30.56
2020-03-16,"Bosnia and Herzegovina","BIH",45.83
2020-03-13,"Belarus","BLR",0
2020-03-29,"Belize","BLZ",54.63
2020-03-17,"Bolivia","BOL",68.52
2020-03-11,"Brazil","BRA",11.11
2020-03-23,"Barbados","BRB",50
2020-03-16,"Brunei","BRN",50
2020-03-16,"Bhutan","BTN",31.48
2020-04-13,"Botswana","BWA",86.11
2020-03-21,"Central African Republic","CAF",11.11
2020-02-01,"Canada","CAN",2.78
2020-03-10,"Switzerland","CHE",25
2020-02-29,"Chile","CHL",0
2020-01-28,"China","CHN",69.91
2020-03-17,"Cote d'Ivoire","CIV",30.56
2020-03-16,"Cameroon","CMR",2.78
2020-03-16,"Colombia","COL",45.37
2020-03-16,"Costa Rica","CRI",37.04
2020-03-18,"Cuba","CUB",13.89
2020-03-16,"Cyprus","CYP",51.85
2020-02-10,"Germany","DEU",5.56
2020-03-24,"Djibouti","DJI",100
2020-03-28,"Dominica","DMA",30.56
2020-03-12,"Denmark","DNK",37.96
2020-03-15,"Dominican Republic","DOM",11.11
2020-03-10,"Algeria","DZA",16.67
2020-03-15,"Ecuador","ECU",55.56
2020-02-20,"Egypt","EGY",0
2020-03-27,"Eritrea","ERI",73.15
2020-02-15,"Spain","ESP",11.11
2020-03-12,"Estonia","EST",25
2020-03-19,"Ethiopia","ETH",35.19
2020-02-12,"Finland","FIN",13.89
2020-03-25,"Fiji","FJI",81.48
2020-01-30,"France","FRA",11.11
2020-03-20,"Gabon","GAB",62.96
2020-02-14,"United Kingdom","GBR",11.11
2020-02-14,"United Kingdom","GBR",11.11
2020-02-14,"United Kingdom","GBR",11.11
2020-02-14,"United Kingdom","GBR",11.11
2020-02-14,"United Kingdom","GBR",11.11
2020-03-11,"Georgia","GEO",45.37
2020-03-20,"Ghana","GHA",50
2020-03-19,"Guinea","GIN",13.89
2020-03-23,"Gambia","GMB",56.48
2020-03-11,"Greece","GRC",33.33
2020-03-20,"Guatemala","GTM",83.33
2020-03-18,"Guyana","GUY",41.67
2020-03-17,"Honduras","HND",93.52
2020-03-10,"Croatia","HRV",22.22
2020-03-26,"Haiti","HTI",82.41
2020-03-16,"Hungary","HUN",67.59
2020-03-16,"Indonesia","IDN",43.52
2020-02-13,"India","IND",10.19
2020-03-14,"Ireland","IRL",42.59
2020-02-25,"Iran","IRN",11.11
2020-03-01,"Iraq","IRQ",52.78
2020-03-13,"Iceland","ISL",16.67
2020-02-27,"Israel","ISR",19.44
2020-02-14,"Italy","ITA",19.44
2020-03-17,"Jamaica","JAM",59.26
2020-03-16,"Jordan","JOR",33.33
2020-01-28,"Japan","JPN",2.78
2020-03-19,"Kazakhstan","KAZ",80.09
2020-03-19,"Kenya","KEN",59.26
2020-02-10,"Cambodia","KHM",0
2020-03-01,"Kuwait","KWT",27.78
2020-03-30,"Laos","LAO",96.3
2020-02-27,"Lebanon","LBN",8.33
2020-03-22,"Liberia","LBR",74.07
2020-03-30,"Libya","LBY",90.74
2020-02-10,"Sri Lanka","LKA",8.33
2020-05-19,"Lesotho","LSO",62.04
2020-03-13,"Lithuania","LTU",47.22
2020-03-14,"Luxembourg","LUX",42.59
