"CODE","StringencyIndex","Fecha","Indice"
"AFG",67.59,"2020-03-28",-1.457285
"AGO",90.74,"2020-04-04",-1.052086
"ALB",81.48,"2020-03-17",0.114788
"AND",48.15,"2020-03-28",1.944976
"ARE",73.15,"2020-03-26",1.431291
"ARG",25,"2020-03-14",0.0259878
"AUS",19.44,"2020-03-07",1.596495
"AUT",85.19,"2020-03-18",1.453342
"AZE",61.11,"2020-03-19",-0.1004674
"BDI",13.89,"2020-04-19",-1.419982
"BEL",50.93,"2020-03-17",1.171748
"BEN",70.83,"2020-04-12",-0.5659866
"BFA",84.26,"2020-03-24",-0.5783429
"BGD",81.48,"2020-03-24",-0.7483993
"BGR",56.48,"2020-03-17",0.2718757
"BHR",69.44,"2020-03-22",0.1798774
"BIH",89.81,"2020-03-27",-0.6185398
"BLR",19.44,"2020-04-06",-0.3010303
"BLZ",75,"2020-04-12",-0.5938884
"BOL",96.3,"2020-04-04",-0.3220994
"BRA",71.76,"2020-03-23",-0.4474374
"BRB",88.89,"2020-04-11",0.4269727
"BRN",52.78,"2020-04-03",1.252714
"BWA",86.11,"2020-04-06",0.3334411
"CAF",75.93,"2020-05-29",-1.720417
"CAN",24.07,"2020-03-15",1.716108
"CHE",25,"2020-03-11",2.039621
"CHL",73.15,"2020-03-28",1.084034
"CHN",69.91,"2020-01-28",0.4771284
"CIV",80.56,"2020-04-04",-0.5705186
"CMR",57.41,"2020-03-31",-0.7996525
"COL",87.96,"2020-03-28",-0.0852262
"CRI",71.3,"2020-03-25",0.3781868
"CUB",66.67,"2020-03-24",-0.2448378
"CYP",92.59,"2020-03-28",0.9209022
"DEU",32.87,"2020-03-15",1.619633
"DJI",100,"2020-04-16",-0.8990966
"DNK",72.22,"2020-03-20",1.871631
"DOM",81.48,"2020-03-23",-0.4002573
"DZA",38.89,"2020-03-18",-0.4439246
"ECU",93.52,"2020-03-20",-0.2613976
"EGY",0,"2020-03-14",-0.5848041
"ESP",25,"2020-03-09",1.002136
"EST",77.78,"2020-03-31",1.191938
"ETH",80.56,"2020-04-11",-0.6074697
"FIN",57.41,"2020-03-27",1.984208
"FJI",50.93,"2020-08-06",0.2595362
"FRA",13.89,"2020-02-21",1.480526
"GAB",66.67,"2020-03-26",-0.8122834
"GBR",11.11,"2020-03-12",1.341884
"GBR",11.11,"2020-03-12",1.341884
"GBR",11.11,"2020-03-12",1.341884
"GBR",11.11,"2020-03-12",1.341884
"GBR",11.11,"2020-03-12",1.341884
"GEO",100,"2020-04-10",0.6145709
"GHA",52.78,"2020-03-27",-0.2102704
"GIN",78.7,"2020-04-21",-0.9709232
"GMB",78.7,"2020-03-29",-0.6234712
"GRC",54.63,"2020-03-17",0.3382609
"GTM",93.52,"2020-03-22",-0.6820061
"GUY",41.67,"2020-03-18",-0.2694839
"HND",100,"2020-04-01",-0.6206585
"HRV",96.3,"2020-03-25",0.4569183
"HTI",90.74,"2020-04-11",-1.909054
"HUN",67.59,"2020-03-21",0.4873109
"IDN",40.74,"2020-03-17",0.1798754
"IND",48.15,"2020-03-17",0.2830485
"IRL",48.15,"2020-03-17",1.420338
"IRN",11.11,"2020-02-25",-0.4302173
"IRQ",52.78,"2020-03-10",-1.320548
"ISL",53.7,"2020-03-23",1.465655
